neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
4,18,0,60,4,118,4,141
6,95,1,17,2,6,1,0
6,98,0,90,62,143,1,220
10,110,1,26,5,25,1,297
6,49,1,42,2,197,1,26
6,98,0,180,6,6,1,137
6,95,0,70,90,23,3,129
1,134,0,90,60,48,2,159
6,98,1,45,3,279,1,42
5,101,0,49,5,223,1,232
6,98,0,129,3,56,1,166
1,134,0,70,60,60,2,129
1,135,0,98,3,61,2,257
4,18,0,160,3,223,1,228
1,118,0,65,60,96,1,275
6,98,0,90,3,18,2,3
6,97,0,90,4,5,2,15
6,49,0,197,3,163,1,336
6,95,0,70,90,28,3,191
1,32,0,90,5,30,1,55
5,101,0,60,2,1,10,341
6,49,0,130,60,69,3,221
6,49,0,100,4,240,4,296
6,49,1,44,1,28,1,361
4,73,0,62,3,144,1,343
6,94,0,55,60,1,1,89
0,89,1,40,1,33,2,297
10,110,1,25,5,21,1,329
4,18,0,52,2,307,2,25
1,135,1,39,1,161,2,120
6,97,0,80,84,102,10,221
5,105,0,80,10,6,1,310
1,118,1,50,3,50,2,0
6,98,1,43,2,70,1,0
6,97,1,40,1,1,1,0
1,135,1,36,1,25,2,217
1,32,0,119,4,109,1,285
6,98,0,90,5,65,2,186
11,4,1,42,3,11,1,65
1,32,1,56,2,101,1,32
6,98,1,50,4,151,1,0
4,18,0,48,60,38,2,264
6,98,0,160,3,35,1,32
1,32,0,88,5,5,1,0
4,2,1,55,4,156,1,33
4,2,0,90,2,1,1,67
0,79,0,55,60,11,1,285
6,95,0,200,3,81,3,68
4,18,0,80,3,160,1,264
9,88,0,49,2,3,1,0
4,2,0,55,90,72,1,352
6,97,0,130,5,32,2,211
6,98,0,90,5,76,2,149
11,109,0,120,2,7,4,86
5,80,1,37,6,96,2,347
1,134,0,52,2,89,3,323
6,95,1,44,3,45,2,123
1,135,0,102,2,34,1,0
1,30,1,29,2,70,1,58
6,94,0,84,3,220,10,315
0,51,0,80,3,37,2,349
10,110,0,69,3,200,1,178
6,98,0,185,4,59,1,359
0,108,0,49,2,69,1,28
4,100,0,155,4,39,1,286
6,94,0,66,3,238,1,69
4,18,0,70,3,71,3,225
6,97,0,53,2,197,2,249
6,49,0,70,3,2,1,139
6,49,0,92,1,265,2,323
4,18,0,75,3,47,3,328
1,135,1,80,2,44,1,365
1,118,1,48,2,167,1,336
6,98,0,114,10,57,4,109
5,101,0,60,2,44,1,2
1,118,0,506,3,112,2,0
1,135,0,50,1,154,1,315
6,97,0,82,60,91,2,319
10,110,0,80,3,59,1,363
1,30,0,60,3,68,1,236
4,2,0,70,4,114,2,194
10,111,0,130,3,53,1,140
6,14,0,69,2,3,1,344
1,118,0,75,14,3,1,310
1,135,0,68,60,84,1,266
1,30,0,125,7,5,1,0
11,36,0,70,2,26,1,340
4,2,0,89,2,443,5,295
1,32,0,59,2,16,1,302
10,110,0,96,1,148,1,202
1,118,0,75,2,191,1,0
4,2,1,55,2,226,1,322
5,105,0,55,30,55,1,312
1,30,1,70,3,107,1,50
6,95,0,31,183,39,1,324
4,2,1,40,2,47,1,84
1,115,0,81,1,10,1,342
6,49,1,52,3,127,1,341
6,94,0,100,180,4,1,282
4,2,0,36,90,95,1,1
1,135,0,88,5,45,1,291
4,74,1,29,1,252,1,324
1,135,0,100,10,3,1,325
0,130,0,161,2,43,1,222
7,126,0,65,2,5,1,214
6,49,0,70,2,103,1,42
1,118,0,29,150,71,2,359
1,135,0,80,5,12,1,253
1,134,1,49,3,374,1,5
6,13,0,49,2,6,1,159
2,104,0,59,1,28,2,16
10,33,1,30,1,13,1,0
0,130,1,23,5,15,1,190
4,17,1,40,5,5,1,362
5,80,1,35,7,48,1,89
6,49,0,70,4,84,1,320
6,98,0,80,2,33,1,0
4,2,1,42,1,1,1,0
4,2,0,96,60,31,4,0
4,2,0,75,60,56,4,280
4,2,0,96,60,41,4,364
4,2,0,76,60,81,4,0
10,111,0,46,60,8,2,309
1,115,0,296,1,18,3,331
1,115,0,244,1,17,3,333
7,87,1,20,1,11,1,0
1,135,0,50,3,1,1,1
0,120,0,59,2,39,1,96
5,101,0,75,2,71,1,243
6,91,0,170,2,118,1,244
0,79,0,39,60,18,1,202
1,118,1,39,2,385,2,167
4,2,0,64,1,389,3,287
6,90,1,35,15,15,1,0
0,79,0,100,2,350,1,272
6,49,0,375,2,36,3,224
5,101,1,29,7,14,1,258
10,110,0,32,62,51,1,205
11,109,0,45,2,2,4,86
11,109,0,120,3,7,4,86
4,85,1,25,2,224,1,322
9,26,0,59,3,63,1,130
7,124,0,86,1,4,4,87
6,98,0,45,28,14,1,0
6,96,0,100,3,63,2,325
4,18,0,80,4,79,1,0
5,23,0,50,2,3,2,242
4,2,1,49,1,40,1,0
6,90,0,55,120,25,2,105
4,18,0,79,2,212,3,6
4,18,0,75,2,253,3,0
1,118,1,49,2,398,2,140
4,2,1,38,3,341,1,43
2,54,0,65,3,33,6,328
1,52,1,75,3,132,1,301
4,2,0,75,4,90,2,62
2,7,1,38,3,101,2,142
1,32,1,89,2,6,1,338
4,18,0,74,2,301,1,66
1,135,0,50,3,92,3,0
6,13,0,120,1,27,1,352
0,27,1,38,7,9,2,321
10,111,1,25,1,10,1,0
4,119,0,88,3,189,1,133
6,49,0,125,4,110,1,97
2,76,1,49,2,129,1,21
0,79,0,50,1,2,1,0
0,72,1,35,3,5,1,316
4,18,0,70,3,22,1,15
1,134,0,195,3,7,1,0
0,51,1,200,7,31,1,323
4,74,0,165,3,245,1,295
4,2,1,35,1,161,1,326
0,89,1,51,1,7,2,291
5,101,1,35,2,189,1,64
4,119,1,45,3,195,1,129
0,72,0,60,30,16,1,276
9,88,1,45,2,29,1,328
4,121,0,75,1,413,2,107
4,74,0,69,60,195,1,339
1,53,0,45,2,6,1,0
11,109,0,50,2,2,4,113
4,18,0,110,5,29,1,3
4,2,1,95,1,19,2,355
1,135,0,75,14,41,1,136
11,8,1,30,1,200,1,311
4,73,0,65,5,51,2,311
4,73,0,65,4,35,2,276
4,2,1,46,3,106,1,236
10,63,0,65,60,7,1,104
1,32,1,28,1,130,3,93
0,129,0,30,60,18,1,221
10,110,0,49,60,62,1,220
1,134,0,55,60,7,1,107
0,79,0,98,60,36,1,211
5,101,1,32,2,30,1,251
3,66,0,55,2,15,1,345
4,18,0,39,120,42,1,359
4,2,0,82,90,39,2,244
1,135,1,46,1,277,1,79
4,100,1,60,2,127,3,103
7,128,0,60,5,3,1,212
5,23,0,43,2,5,2,277
4,2,0,85,8,7,1,307
6,98,0,60,3,373,2,91
6,95,1,58,4,80,1,271
4,18,1,55,90,101,2,191
1,32,1,30,1,55,3,27
5,102,1,31,3,146,3,0
3,12,1,35,5,16,2,159
4,73,0,45,2,105,1,232
1,32,0,100,4,42,1,274
9,133,0,95,5,1,2,272
4,74,0,63,2,73,6,251
4,74,0,175,2,24,1,362
4,18,0,130,1,179,2,44
4,18,0,120,1,150,2,81
11,50,0,64,2,69,1,325
10,110,0,55,90,163,4,304
10,111,1,29,1,62,1,349
4,100,0,150,3,104,1,302
6,94,0,76,2,32,2,311
4,100,0,79,2,67,2,291
7,125,0,23,30,3,2,0
7,125,0,19,30,6,2,129
10,110,0,49,1,119,6,243
0,51,1,45,14,12,3,0
0,10,1,45,2,5,1,0
6,49,0,91,3,148,1,311
10,110,0,69,2,114,1,211
0,27,0,70,90,44,1,270
5,101,0,55,4,3,1,0
6,98,1,45,3,6,4,310
6,98,1,50,7,3,4,310
6,98,1,55,3,8,4,279
0,89,0,93,3,14,4,236
1,32,1,175,2,94,2,158
6,98,1,95,3,14,4,319
10,111,0,52,3,28,2,0
10,69,0,59,3,18,1,309
0,89,0,58,3,4,4,238
